Country,Country_Fullname,Mapping,Tariff_Default,Tariff_Actual,Display
Finland,the Republic of Finland,European Union,10%,15%,Finland (European Union) [15%]
France,the French Republic,European Union,10%,15%,France (European Union) [15%]
Gabon,the Gabonese Republic,,10%,10%,Gabon [10%]
Gambia,the Republic of the Gambia,,10%,10%,Gambia [10%]
Georgia,Georgia,,10%,10%,Georgia [10%]
Germany,the Federal Republic of Germany,European Union,10%,15%,Germany (European Union) [15%]
Ghana,the Republic of Ghana,,10%,10%,Ghana [10%]
Greece,the Hellenic Republic,European Union,10%,15%,Greece (European Union) [15%]
Grenada,Grenada,,10%,10%,Grenada [10%]
Guatemala,the Republic of Guatemala,,10%,10%,Guatemala [10%]
Guinea,the Republic of Guinea,,10%,10%,Guinea [10%]
Guinea-Bissau,the Republic of Guinea-Bissau,,10%,10%,Guinea-Bissau [10%]
Guyana,the Co-operative Republic of Guyana,,10%,38%,Guyana [38%]
Haiti,the Republic of Haiti,,10%,10%,Haiti [10%]
Holy See,the Holy See *,,10%,10%,Holy See [10%]
Honduras,the Republic of Honduras,,10%,10%,Honduras [10%]
Hungary,Hungary,European Union,10%,15%,Hungary (European Union) [15%]
Iceland,Iceland,,10%,10%,Iceland [10%]
India,the Republic of India,,10%,26%,India [26%]
Indonesia,the Republic of Indonesia,,10%,32%,Indonesia [32%]
Iran,the Islamic Republic of Iran,,10%,10%,Iran [10%]
Iraq,the Republic of Iraq,,10%,39%,Iraq [39%]
Ireland,Ireland,European Union,10%,15%,Ireland (European Union) [15%]
Israel,the State of Israel,,10%,17%,Israel [17%]
Italy,the Republic of Italy,European Union,10%,15%,Italy (European Union) [15%]
Jamaica,Jamaica,,10%,10%,Jamaica [10%]
Japan,Japan,,10%,24%,Japan [24%]
Jordan,the Hashemite Kingdom of Jordan,,10%,20%,Jordan [20%]
Kazakhstan,the Republic of Kazakhstan,,10%,27%,Kazakhstan [27%]
Kenya,the Republic of Kenya,,10%,10%,Kenya [10%]
Kiribati,the Republic of Kiribati,,10%,10%,Kiribati [10%]
Kuwait,the State of Kuwait,,10%,10%,Kuwait [10%]
Kyrgyzstan,the Kyrgyz Republic,,10%,10%,Kyrgyzstan [10%]
Laos,the Lao People's Democratic Republic,,10%,48%,Laos [48%]
Latvia,the Republic of Latvia,European Union,10%,15%,Latvia (European Union) [15%]
Lebanon,the Lebanese Republic,,10%,10%,Lebanon [10%]
Lesotho,the Kingdom of Lesotho,,10%,50%,Lesotho [50%]
Liberia,the Republic of Liberia,,10%,10%,Liberia [10%]
Libya,the State of Libya,,10%,31%,Libya [31%]
Liechtenstein,the Principality of Liechtenstein,,10%,37%,Liechtenstein [37%]
Lithuania,the Republic of Lithuania,European Union,10%,15%,Lithuania (European Union) [15%]
Luxembourg,the Grand Duchy of Luxembourg,European Union,10%,15%,Luxembourg (European Union) [15%]
Madagascar,the Republic of Madagascar,,10%,47%,Madagascar [47%]
Malawi,the Republic of Malawi,,10%,17%,Malawi [17%]
Malaysia,Malaysia,,10%,24%,Malaysia [24%]
Maldives,the Republic of Maldives,,10%,10%,Maldives [10%]
Mali,the Republic of Mali,,10%,10%,Mali [10%]
Malta,the Republic of Malta,European Union,10%,15%,Malta (European Union) [15%]
Marshall Islands,the Republic of the Marshall Islands,,10%,10%,Marshall Islands [10%]
Mauritania,the Islamic Republic of Mauritania,,10%,10%,Mauritania [10%]
Mauritius,the Republic of Mauritius,,10%,40%,Mauritius [40%]
Mexico,the United Mexican States,,10%,10%,Mexico [10%]
Micronesia (Federated States of),the Federated States of Micronesia,,10%,10%,Micronesia (Federated States of) [10%]
Moldova,the Republic of Moldova,,10%,31%,Moldova [31%]
Monaco,the Principality of Monaco,,10%,10%,Monaco [10%]
Mongolia,Mongolia,,10%,10%,Mongolia [10%]
Montenegro,Montenegro,,10%,10%,Montenegro [10%]
Morocco,the Kingdom of Morocco,,10%,10%,Morocco [10%]
Mozambique,the Republic of Mozambique,,10%,16%,Mozambique [16%]
Myanmar (Burma),the Republic of the Union of Myanmar,,10%,44%,Myanmar (Burma) [44%]
Namibia,the Republic of Namibia,,10%,21%,Namibia [21%]
Nauru,the Republic of Nauru,,10%,30%,Nauru [30%]
Nepal,Nepal,,10%,10%,Nepal [10%]
Netherlands,the Kingdom of the Netherlands,European Union,10%,15%,Netherlands (European Union) [15%]
New Zealand,New Zealand,,10%,10%,New Zealand [10%]
Nicaragua,the Republic of Nicaragua,,10%,18%,Nicaragua [18%]
Niger,the Republic of the Niger,,10%,10%,Niger [10%]
Nigeria,the Federal Republic of Nigeria,,10%,14%,Nigeria [14%]
Niue,Niue **,,10%,10%,Niue [10%]
North Korea,the Democratic People's Republic of Korea,Non-NTR,10%,35%,North Korea (Non-NTR) [35%]
North Macedonia,the Republic of North Macedonia,,10%,33%,North Macedonia [33%]
Norway,the Kingdom of Norway,,10%,15%,Norway [15%]
Oman,the Sultanate of Oman,,10%,10%,Oman [10%]
Pakistan,the Islamic Republic of Pakistan,,10%,29%,Pakistan [29%]
Palau,the Republic of Palau,,10%,10%,Palau [10%]
Panama,the Republic of Panama,,10%,10%,Panama [10%]
Papua New Guinea,the Independent State of Papua New Guinea,,10%,10%,Papua New Guinea [10%]
Paraguay,the Republic of Paraguay,,10%,10%,Paraguay [10%]
Peru,the Republic of Peru,,10%,10%,Peru [10%]
Philippines,the Republic of the Philippines,,10%,17%,Philippines [17%]
Poland,the Republic of Poland,European Union,10%,15%,Poland (European Union) [15%]
Portugal,the Portuguese Republic,European Union,10%,15%,Portugal (European Union) [15%]
Qatar,the State of Qatar,,10%,10%,Qatar [10%]
Romania,Romania,European Union,10%,15%,Romania (European Union) [15%]
Russia,the Russian Federation,Non-NTR,10%,35%,Russia (Non-NTR) [35%]
Rwanda,the Republic of Rwanda,,10%,10%,Rwanda [10%]
Saint Kitts and Nevis,Saint Kitts and Nevis,,10%,10%,Saint Kitts and Nevis [10%]
Saint Lucia,Saint Lucia,,10%,10%,Saint Lucia [10%]
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,10%,10%,Saint Vincent and the Grenadines [10%]
Samoa,the Independent State of Samoa,,10%,10%,Samoa [10%]
San Marino,the Republic of San Marino,,10%,10%,San Marino [10%]
Sao Tome and Principe,the Democratic Republic of Sao Tome and Principe,,10%,10%,Sao Tome and Principe [10%]
Saudi Arabia,the Kingdom of Saudi Arabia,,10%,10%,Saudi Arabia [10%]
Senegal,the Republic of Senegal,,10%,10%,Senegal [10%]
Serbia,the Republic of Serbia,,10%,37%,Serbia [37%]
Seychelles,the Republic of Seychelles,,10%,10%,Seychelles [10%]
Sierra Leone,the Republic of Sierra Leone,,10%,10%,Sierra Leone [10%]
Singapore,the Republic of Singapore,,10%,10%,Singapore [10%]
Slovakia,the Slovak Republic,European Union,10%,15%,Slovakia (European Union) [15%]
Slovenia,the Republic of Slovenia,European Union,10%,15%,Slovenia (European Union) [15%]
Solomon Islands,Solomon Islands,,10%,10%,Solomon Islands [10%]
Somalia,the Federal Republic of Somalia,,10%,10%,Somalia [10%]
South Africa,the Republic of South Africa,,10%,30%,South Africa [30%]
South Korea,the Republic of Korea,,10%,25%,South Korea [25%]
South Sudan,the Republic of South Sudan,,10%,10%,South Sudan [10%]
Spain,the Kingdom of Spain,European Union,10%,15%,Spain (European Union) [15%]
Sri Lanka,the Democratic Socialist Republic of Sri Lanka,,10%,44%,Sri Lanka [44%]
State of Palestine,the State of Palestine *,,10%,10%,State of Palestine [10%]
Sudan,the Republic of the Sudan,,10%,10%,Sudan [10%]
Suriname,the Republic of Suriname,,10%,10%,Suriname [10%]
Sweden,the Kingdom of Sweden,European Union,10%,15%,Sweden (European Union) [15%]
Switzerland,the Swiss Confederation,,10%,31%,Switzerland [31%]
Syria,the Syrian Arab Republic,,10%,41%,Syria [41%]
Taiwan,Taiwan,,10%,32%,Taiwan [32%]
Tajikistan,the Republic of Tajikistan,,10%,10%,Tajikistan [10%]
Tanzania,the United Republic of Tanzania,,10%,10%,Tanzania [10%]
Thailand,the Kingdom of Thailand,,10%,36%,Thailand [36%]
Timor-Leste,the Democratic Republic of Timor-Leste,,10%,10%,Timor-Leste [10%]
Togo,the Togolese Republic,,10%,10%,Togo [10%]
Tonga,the Kingdom of Tonga,,10%,10%,Tonga [10%]
Trinidad and Tobago,the Republic of Trinidad and Tobago,,10%,10%,Trinidad and Tobago [10%]
Tunisia,the Republic of Tunisia,,10%,28%,Tunisia [28%]
Türkiye,the Republic of Türkiye,,10%,10%,Türkiye [10%]
Turkmenistan,Turkmenistan,,10%,10%,Turkmenistan [10%]
Tuvalu,Tuvalu,,10%,10%,Tuvalu [10%]
Uganda,the Republic of Uganda,,10%,10%,Uganda [10%]
Ukraine,Ukraine,,10%,10%,Ukraine [10%]
United Arab Emirates,the United Arab Emirates,,10%,10%,United Arab Emirates [10%]
United Kingdom,the United Kingdom of Great Britain and Northern Ireland,,10%,10%,United Kingdom [10%]
United States of America,the United States of America,,10%,10%,United States of America [10%]
Uruguay,the Eastern Republic of Uruguay,,10%,10%,Uruguay [10%]
Uzbekistan,the Republic of Uzbekistan,,10%,10%,Uzbekistan [10%]
Vanuatu,the Republic of Vanuatu,,10%,22%,Vanuatu [22%]
Venezuela,the Bolivarian Republic of Venezuela,,10%,15%,Venezuela [15%]
Vietnam,the Socialist Republic of Viet Nam,,10%,46%,Vietnam [46%]
Yemen,the Republic of Yemen,,10%,10%,Yemen [10%]
Zambia,the Republic of Zambia,,10%,17%,Zambia [17%]
Zimbabwe,the Republic of Zimbabwe,,10%,18%,Zimbabwe [18%]
